GeneName;baseMean;log2FC;pval;padj
Spp1;3195.806439;-0.609825736;2.12097E-60;5.63373E-57
H19;320.2382172;-2.524180131;4.81868E-48;9.1424E-45
Bgn;1634.846885;0.648943993;9.57023E-41;1.58878E-37
Npr3;55.77417523;2.436011821;1.35762E-40;2.00339E-37
Abi3bp;1047.574112;0.776961633;3.90967E-40;5.19243E-37
Pappa2;26.12359547;3.122066657;5.56031E-40;6.71332E-37
Col1a1;695.9517128;0.903673734;1.97562E-38;2.18652E-35
Ptprz1;114.2982026;1.792421271;9.55942E-36;9.76605E-33
C3;1810.359188;0.58639519;1.10204E-35;1.04544E-32
Slc7a2;123.8031264;1.679240478;1.03937E-32;9.20258E-30
Col3a1;492.6419915;0.935218864;5.99001E-30;4.97209E-27
Lpl;517.2711021;0.840674201;1.30643E-24;1.02063E-21
Grem1;432.5039204;-1.123363697;9.18264E-23;6.77526E-20
Fn1;4652.809625;0.322209882;1.68289E-22;1.17634E-19
mt-Rnr1;1172.752165;0.522463646;2.21989E-18;1.47412E-15
Lox;863.3937972;0.591259602;3.59557E-18;2.27394E-15
Il1rl1;226.2052294;-1.404782436;4.85581E-17;2.93136E-14
Nrep;185.7345792;1.082031893;7.29842E-17;4.21436E-14
Sparc;1767.377803;0.419884092;1.28807E-16;7.12786E-14
Gfra2;158.0567195;1.139201662;2.38024E-16;1.26448E-13
Fhl1;330.2811556;0.841387382;2.60956E-16;1.33298E-13
Acta2;568.5020433;0.670122432;2.75541E-16;1.35535E-13
mt-Rnr2;2087.914918;0.381300094;1.13719E-15;5.39396E-13
Ogn;190.0984751;1.025675222;2.73358E-15;1.22875E-12
Rab27b;34.13403436;1.997924479;2.81174E-15;1.22875E-12
Ranbp3l;782.6916144;-0.590823886;2.86809E-15;1.22875E-12
Bmp3;68.86586266;-3.465115052;4.63095E-15;1.92199E-12
Slc1a3;526.8955846;0.636850594;1.21873E-13;4.90484E-11
mt-Nd1;4792.932526;-0.174310278;2.88854E-13;1.12831E-10
Neat1;1044.166687;0.465690206;6.2353E-13;2.36603E-10
Hsph1;673.2355428;-0.572648508;9.53951E-13;3.51929E-10
Abca1;145.6823848;1.03230926;3.11019E-12;1.11639E-09
Pdgfra;291.9625636;0.767305714;5.45909E-12;1.88901E-09
Slc12a2;152.1385594;1.004462989;5.54714E-12;1.88901E-09
Slco4a1;89.19085685;-2.072687125;7.31836E-12;2.42988E-09
Fbln2;886.5882024;0.469334652;2.21018E-11;7.15937E-09
Cp;776.2354398;-0.477545518;4.24485E-11;1.31626E-08
Il6st;737.1397157;0.501023006;4.26167E-11;1.31626E-08
Eef1a1;4099.31221;-0.168450662;4.81997E-11;1.45486E-08
Col6a1;501.967577;0.575495693;1.40061E-10;4.13365E-08
Cx3cl1;190.7560484;0.860141689;1.64448E-10;4.74789E-08
Kcnj2;109.9940862;-1.542661448;3.97945E-10;1.12449E-07
Lbp;49.01910363;1.459503136;4.28943E-10;1.18683E-07
Hr;15.48286322;2.230822494;5.64339E-10;1.52959E-07
Fmod;45.73123692;1.47727651;9.07989E-10;2.4118E-07
